timestep,reward,epsilon
3.000000000000000000e+01,3.000000000000000000e+01,9.971000000000003194e-01
5.000000000000000000e+01,2.000000000000000000e+01,9.950999999999998735e-01
7.000000000000000000e+01,2.000000000000000000e+01,9.931000000000000938e-01
9.200000000000000000e+01,2.200000000000000000e+01,9.908999999999996700e-01
1.180000000000000000e+02,2.600000000000000000e+01,9.882999999999999563e-01
1.520000000000000000e+02,3.400000000000000000e+01,9.849000000000003308e-01
1.860000000000000000e+02,3.400000000000000000e+01,9.815000000000000391e-01
1.990000000000000000e+02,1.300000000000000000e+01,9.802000000000001823e-01
2.480000000000000000e+02,4.900000000000000000e+01,9.753000000000000558e-01
2.640000000000000000e+02,1.600000000000000000e+01,9.737000000000002320e-01
2.860000000000000000e+02,2.200000000000000000e+01,9.714999999999998082e-01
3.210000000000000000e+02,3.500000000000000000e+01,9.680000000000001936e-01
3.540000000000000000e+02,3.300000000000000000e+01,9.646999999999998909e-01
3.710000000000000000e+02,1.700000000000000000e+01,9.630000000000000782e-01
4.040000000000000000e+02,3.300000000000000000e+01,9.596999999999997755e-01
4.160000000000000000e+02,1.200000000000000000e+01,9.584999999999999076e-01
4.330000000000000000e+02,1.700000000000000000e+01,9.568000000000000949e-01
4.490000000000000000e+02,1.600000000000000000e+01,9.552000000000002711e-01
4.710000000000000000e+02,2.200000000000000000e+01,9.529999999999998472e-01
5.010000000000000000e+02,3.000000000000000000e+01,9.500000000000001776e-01
5.210000000000000000e+02,2.000000000000000000e+01,9.479999999999997318e-01
5.370000000000000000e+02,1.600000000000000000e+01,9.463999999999999080e-01
5.990000000000000000e+02,6.200000000000000000e+01,9.401999999999999247e-01
6.090000000000000000e+02,1.000000000000000000e+01,9.392000000000000348e-01
6.350000000000000000e+02,2.600000000000000000e+01,9.366000000000003212e-01
6.510000000000000000e+02,1.600000000000000000e+01,9.349999999999998312e-01
6.650000000000000000e+02,1.400000000000000000e+01,9.335999999999999854e-01
6.750000000000000000e+02,1.000000000000000000e+01,9.326000000000000956e-01
6.860000000000000000e+02,1.100000000000000000e+01,9.315000000000002167e-01
7.040000000000000000e+02,1.800000000000000000e+01,9.296999999999997488e-01
7.220000000000000000e+02,1.800000000000000000e+01,9.278999999999999471e-01
7.420000000000000000e+02,2.000000000000000000e+01,9.259000000000001673e-01
7.820000000000000000e+02,4.000000000000000000e+01,9.218999999999999417e-01
7.970000000000000000e+02,1.500000000000000000e+01,9.204000000000001069e-01
8.100000000000000000e+02,1.300000000000000000e+01,9.191000000000002501e-01
8.410000000000000000e+02,3.100000000000000000e+01,9.159999999999999254e-01
8.680000000000000000e+02,2.700000000000000000e+01,9.133000000000002228e-01
8.770000000000000000e+02,9.000000000000000000e+00,9.124000000000003219e-01
8.940000000000000000e+02,1.700000000000000000e+01,9.106999999999998430e-01
9.200000000000000000e+02,2.600000000000000000e+01,9.081000000000001293e-01
9.420000000000000000e+02,2.200000000000000000e+01,9.058999999999997055e-01
9.560000000000000000e+02,1.400000000000000000e+01,9.044999999999998597e-01
9.800000000000000000e+02,2.400000000000000000e+01,9.021000000000001240e-01
9.880000000000000000e+02,8.000000000000000000e+00,9.013000000000002121e-01
1.014000000000000000e+03,2.600000000000000000e+01,8.986999999999998323e-01
1.028000000000000000e+03,1.400000000000000000e+01,8.972999999999999865e-01
1.039000000000000000e+03,1.100000000000000000e+01,8.962000000000001076e-01
1.061000000000000000e+03,2.200000000000000000e+01,8.939999999999996838e-01
1.097000000000000000e+03,3.600000000000000000e+01,8.904000000000000803e-01
1.115000000000000000e+03,1.800000000000000000e+01,8.886000000000002785e-01
1.134000000000000000e+03,1.900000000000000000e+01,8.866999999999998217e-01
1.143000000000000000e+03,9.000000000000000000e+00,8.857999999999999208e-01
1.156000000000000000e+03,1.300000000000000000e+01,8.845000000000000639e-01
1.174000000000000000e+03,1.800000000000000000e+01,8.827000000000002622e-01
1.195000000000000000e+03,2.100000000000000000e+01,8.805999999999998273e-01
1.222000000000000000e+03,2.700000000000000000e+01,8.779000000000001247e-01
1.230000000000000000e+03,8.000000000000000000e+00,8.771000000000002128e-01
1.250000000000000000e+03,2.000000000000000000e+01,8.750999999999997669e-01
1.305000000000000000e+03,5.500000000000000000e+01,8.695999999999997065e-01
1.315000000000000000e+03,1.000000000000000000e+01,8.685999999999998167e-01
1.329000000000000000e+03,1.400000000000000000e+01,8.671999999999999709e-01
