timestep,reward,epsilon
1.000000000000000000e+01,1.000000000000000000e+01,nan
3.800000000000000000e+01,2.800000000000000000e+01,nan
5.600000000000000000e+01,1.800000000000000000e+01,nan
7.000000000000000000e+01,1.400000000000000000e+01,nan
9.600000000000000000e+01,2.600000000000000000e+01,nan
1.190000000000000000e+02,2.300000000000000000e+01,nan
1.380000000000000000e+02,1.900000000000000000e+01,nan
1.470000000000000000e+02,9.000000000000000000e+00,nan
1.820000000000000000e+02,3.500000000000000000e+01,nan
1.930000000000000000e+02,1.100000000000000000e+01,nan
2.060000000000000000e+02,1.300000000000000000e+01,nan
2.160000000000000000e+02,1.000000000000000000e+01,nan
2.380000000000000000e+02,2.200000000000000000e+01,nan
3.230000000000000000e+02,8.500000000000000000e+01,nan
3.640000000000000000e+02,4.100000000000000000e+01,nan
3.880000000000000000e+02,2.400000000000000000e+01,nan
4.480000000000000000e+02,6.000000000000000000e+01,nan
4.660000000000000000e+02,1.800000000000000000e+01,nan
4.930000000000000000e+02,2.700000000000000000e+01,nan
5.070000000000000000e+02,1.400000000000000000e+01,nan
5.190000000000000000e+02,1.200000000000000000e+01,nan
5.340000000000000000e+02,1.500000000000000000e+01,nan
5.490000000000000000e+02,1.500000000000000000e+01,nan
5.730000000000000000e+02,2.400000000000000000e+01,nan
5.910000000000000000e+02,1.800000000000000000e+01,nan
6.180000000000000000e+02,2.700000000000000000e+01,nan
6.410000000000000000e+02,2.300000000000000000e+01,nan
6.580000000000000000e+02,1.700000000000000000e+01,nan
6.760000000000000000e+02,1.800000000000000000e+01,nan
6.940000000000000000e+02,1.800000000000000000e+01,nan
7.170000000000000000e+02,2.300000000000000000e+01,nan
7.280000000000000000e+02,1.100000000000000000e+01,nan
7.640000000000000000e+02,3.600000000000000000e+01,nan
7.790000000000000000e+02,1.500000000000000000e+01,nan
7.920000000000000000e+02,1.300000000000000000e+01,nan
8.710000000000000000e+02,7.900000000000000000e+01,nan
9.000000000000000000e+02,2.900000000000000000e+01,nan
9.220000000000000000e+02,2.200000000000000000e+01,nan
9.350000000000000000e+02,1.300000000000000000e+01,nan
9.720000000000000000e+02,3.700000000000000000e+01,nan
9.880000000000000000e+02,1.600000000000000000e+01,nan
1.015000000000000000e+03,2.700000000000000000e+01,nan
1.030000000000000000e+03,1.500000000000000000e+01,nan
1.082000000000000000e+03,5.200000000000000000e+01,nan
1.093000000000000000e+03,1.100000000000000000e+01,nan
1.111000000000000000e+03,1.800000000000000000e+01,nan
1.140000000000000000e+03,2.900000000000000000e+01,nan
1.173000000000000000e+03,3.300000000000000000e+01,nan
1.182000000000000000e+03,9.000000000000000000e+00,nan
1.198000000000000000e+03,1.600000000000000000e+01,nan
1.227000000000000000e+03,2.900000000000000000e+01,nan
1.273000000000000000e+03,4.600000000000000000e+01,nan
1.346000000000000000e+03,7.300000000000000000e+01,nan
1.361000000000000000e+03,1.500000000000000000e+01,nan
1.388000000000000000e+03,2.700000000000000000e+01,nan
1.418000000000000000e+03,3.000000000000000000e+01,nan
1.429000000000000000e+03,1.100000000000000000e+01,nan
1.487000000000000000e+03,5.800000000000000000e+01,nan
